2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Red Line Collector | routeID=20 | poll=15s | timeout=10s
2026-03-03 07:11:59  INFO      CSV  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:11:59  INFO      Log  : /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_collector.log
2026-03-03 07:11:59  INFO      ============================================================
2026-03-03 07:11:59  INFO      Created CSV with headers: /home/hty/Documents/Working Projects/stinger-delay/Platform/red_line/data/red_line_data.csv
2026-03-03 07:43:41  INFO      HEARTBEAT | snapshot=2026-03-03 12:43:41 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:43:56  INFO      HEARTBEAT | snapshot=2026-03-03 12:43:56 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:44:12  INFO      HEARTBEAT | snapshot=2026-03-03 12:44:11 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:44:27  INFO      HEARTBEAT | snapshot=2026-03-03 12:44:27 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:44:42  INFO      HEARTBEAT | snapshot=2026-03-03 12:44:42 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:44:58  INFO      HEARTBEAT | snapshot=2026-03-03 12:44:57 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:45:13  INFO      HEARTBEAT | snapshot=2026-03-03 12:45:13 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:45:28  INFO      HEARTBEAT | snapshot=2026-03-03 12:45:28 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:45:43  INFO      HEARTBEAT | snapshot=2026-03-03 12:45:43 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:45:59  INFO      HEARTBEAT | snapshot=2026-03-03 12:45:58 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:46:14  INFO      HEARTBEAT | snapshot=2026-03-03 12:46:14 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:46:30  INFO      HEARTBEAT | snapshot=2026-03-03 12:46:29 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:46:45  INFO      HEARTBEAT | snapshot=2026-03-03 12:46:45 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:47:00  INFO      HEARTBEAT | snapshot=2026-03-03 12:47:00 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:47:16  INFO      HEARTBEAT | snapshot=2026-03-03 12:47:15 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:47:32  INFO      HEARTBEAT | snapshot=2026-03-03 12:47:31 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:47:47  INFO      HEARTBEAT | snapshot=2026-03-03 12:47:47 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:48:02  INFO      HEARTBEAT | snapshot=2026-03-03 12:48:02 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:48:17  INFO      HEARTBEAT | snapshot=2026-03-03 12:48:17 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:48:32  INFO      HEARTBEAT | snapshot=2026-03-03 12:48:32 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:48:48  INFO      HEARTBEAT | snapshot=2026-03-03 12:48:47 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:49:03  INFO      HEARTBEAT | snapshot=2026-03-03 12:49:03 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:49:18  INFO      HEARTBEAT | snapshot=2026-03-03 12:49:18 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:49:33  INFO      HEARTBEAT | snapshot=2026-03-03 12:49:33 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:49:49  INFO      HEARTBEAT | snapshot=2026-03-03 12:49:48 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:50:04  INFO      HEARTBEAT | snapshot=2026-03-03 12:50:04 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:50:19  INFO      HEARTBEAT | snapshot=2026-03-03 12:50:19 | vehicles=1 | rows=1 | errors=0
2026-03-03 07:50:35  INFO      HEARTBEAT | snapshot=2026-03-03 12:50:34 | vehicles=1 | rows=1 | errors=0
